id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,housing_score,loan_score,vinculacion,productos_detalle,education_rank,education_label,job_profile,week_of_month,campaign_group,2076,2075,2074,2073,2072,2071,2070,2069,2068,2067,2066,2065,2064,2063,2062,2061,2060,2059,2058,2057,2056,2055,2054,2053,2052,2051,2050,2049,2048,2047,2046,2045,2044,2043,2042,2041,2040,2039,2038,2037,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026
1,59.0,admin.,married,secondary,no,2343,yes,no,unknown,5,May,1042,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,734710.229019,741652.101895,746672.045139,743305.556195,764361.161481,773946.755702,781941.114447,787840.687439,803956.963925,788103.588342,784462.73656,772307.173014,765279.548478,754649.668213,735923.140981,727405.280532,722728.943653,706564.128026,690596.481571,691535.269071,681808.310844,677734.435581,677735.538767,685013.86837,691397.46858,683023.723652,682118.567982,682783.075588,684541.903556,683787.542044,689155.383726,698525.850299,711670.63864,722181.085802,746748.968896,766414.51182,790201.134572,803510.652698,829396.807155,834221.464579,843127.730444,832515.661711,823224.514406,800452.479702,792766.161789,777449.325559,763013.056517,751374.270664,740894.151756,742537.19468,722151.0
2,56.0,admin.,married,secondary,no,45,no,no,unknown,5,May,1373,1,-1,0,unknown,1,1,0,Mediana edad (55-64),0,0,1,Depósito,2.0,Secondary,White Collar,1,0-3,698616.449815,709495.604405,726295.533486,740768.940803,747822.594772,752923.636214,749519.576119,770812.978232,780508.361794,788632.594907,794629.176042,810943.375805,795048.111672,791540.233248,779335.248342,772356.894806,761712.258631,742865.58654,734364.80758,729859.512532,713526.813761,697354.004101,698319.118188,688404.170164,684251.095719,684168.141144,691353.181893,697688.853549,689041.913146,688068.391285,688628.524687,690314.519075,689388.938271,694687.846471,704105.617079,717398.584804,727983.114202,753047.171693,772878.654682,797076.65643,810289.798743,836314.89671,840882.693787,849420.217372,838064.450477,828109.883236,804079.483975,795860.358874,779476.164502,764544.919266,752068.0
3,41.0,technician,married,secondary,no,1270,yes,no,unknown,5,May,1373,1,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,665539.311217,662426.79285,659350.489489,656307.58027,653305.723518,650361.511658,647510.431318,644806.01089,642343.46981,641388.909321,638463.942875,638535.596303,649482.622878,653658.532135,656833.091494,670998.984529,682818.154487,700843.342954,716442.223459,724104.052977,729641.414543,726009.374983,748521.267684,758733.425687,767504.997085,773968.601926,791273.831159,775284.807534,772625.987873,760239.939406,753665.485002,743101.716964,723823.253257,715625.151619,712365.808309,695285.302998,678080.212836,679186.614411,668134.253077,663323.393149,662283.755027,667988.742154,672910.512633,661257.178657,658140.139921,655733.067695,654191.829997,648897.254939,650004.143846,655896.188792,666610.0
4,55.0,services,married,secondary,no,2476,yes,no,unknown,5,May,579,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,1,0-3,686233.525182,699600.404823,710538.706082,727410.378968,741948.7704,749038.433466,754166.865227,750751.144034,772122.594647,781852.916895,790018.107994,796044.066001,812421.021326,796511.867963,793047.436049,780825.306639,773863.257309,763214.458852,744329.883709,735836.160266,731389.632147,715002.320214,698761.603948,699733.789678,689754.853844,685573.279029,685458.813698,692606.408745,698921.289654,690180.851393,689183.141049,689705.974902,691366.47429,690381.113326,695650.863264,705074.487447,718401.985678,728990.443006,754192.620452,774037.311769,798326.276162,811440.219048,837433.040845,841832.348599,850152.950691,838461.374166,828221.461427,803712.269505,795340.045243,778652.397132,763736.0
5,54.0,admin.,married,tertiary,no,184,no,no,unknown,5,May,673,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),0,0,1,Depósito,3.0,Tertiary,White Collar,1,0-3,683790.016016,686765.003945,700187.694137,711179.135042,728121.512945,742726.043773,749853.173184,755010.029038,751582.899797,773031.578203,782795.513212,791000.118818,797054.698631,813492.686095,797569.745154,794149.128894,781910.250959,774965.467402,764313.616507,745392.658085,736907.115142,732520.914682,716079.448284,699770.670975,700749.181342,690705.363089,686494.430631,686347.137186,693454.711059,699747.459859,690912.861952,689891.286586,690377.153623,692010.754832,690962.364966,696196.975889,705617.378445,718966.173787,729540.118633,754858.887277,774684.695172,799032.116206,812000.85944,837913.891399,842098.435068,850156.642239,838096.623574,827566.680208,802588.692362,794143.690789,777262.0
6,42.0,management,single,tertiary,no,0,yes,yes,unknown,5,May,562,2,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,1,0-3,667349.052476,664261.063623,661232.681156,658245.735766,655306.555064,652449.071581,649729.448493,647246.868735,646264.443138,643341.153204,643398.06843,654285.939667,658431.499768,661591.718357,675692.263462,687435.12225,705359.078613,720862.221839,728469.060135,733964.757032,730344.433692,752755.337057,762923.645781,771641.123265,778066.793046,795294.413696,779302.726408,776563.892445,764180.131431,757555.43482,746963.003622,727692.397496,719442.991595,716053.269556,699020.428236,681903.973235,683026.069978,672126.417994,667465.634641,666651.354281,672691.36873,677988.936082,666900.614559,664298.108318,662509.970125,661596.852367,656999.39699,658686.366688,664908.293275,675594.89771,683455.0
7,56.0,management,married,tertiary,no,830,yes,yes,unknown,6,May,1201,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,1,0-3,698616.449815,709495.604405,726295.533486,740768.940803,747822.594772,752923.636214,749519.576119,770812.978232,780508.361794,788632.594907,794629.176042,810943.375805,795048.111672,791540.233248,779335.248342,772356.894806,761712.258631,742865.58654,734364.80758,729859.512532,713526.813761,697354.004101,698319.118188,688404.170164,684251.095719,684168.141144,691353.181893,697688.853549,689041.913146,688068.391285,688628.524687,690314.519075,689388.938271,694687.846471,704105.617079,717398.584804,727983.114202,753047.171693,772878.654682,797076.65643,810289.798743,836314.89671,840882.693787,849420.217372,838064.450477,828109.883236,804079.483975,795860.358874,779476.164502,764544.919266,752068.0
8,60.0,retired,divorced,secondary,no,545,yes,no,unknown,6,May,1030,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,2.0,Secondary,Retired,1,0-3,738726.931053,743718.902616,740365.193997,761340.290393,770888.789117,778839.183435,784705.525154,800753.542891,784915.246387,781230.206202,769092.405201,762048.313998,751424.004993,732739.708541,724217.486703,719485.755984,703379.255719,687482.146805,688411.996395,678748.58059,674701.052248,674728.860608,682034.475429,688430.999344,680147.4524,679264.302228,679962.08442,681744.140353,681046.370845,686435.819394,695788.589257,708878.197566,719355.979045,743746.152868,763335.557922,786960.786051,800264.325946,826054.675437,830909.320293,839867.763524,829428.506709,820286.825718,797852.041887,790303.061076,775304.914836,761073.768917,749776.352126,739472.901217,741256.552328,721091.270048,712950.0
9,37.0,technician,married,secondary,no,1,yes,no,unknown,6,May,608,1,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,653676.403778,651069.633545,648209.981142,645165.743023,642020.659034,638846.804615,635703.507889,632627.751881,629633.703173,626728.979751,623935.769986,621295.701412,618896.735674,618031.919062,615066.426611,615183.962242,626388.409746,630710.32541,633973.221454,648459.506448,660653.76841,679158.310075,695205.592523,703122.928407,708845.647832,705154.390108,728098.839193,738493.550564,747504.554611,754146.242656,771818.677413,755900.413896,753669.744764,741341.243881,735051.356918,724652.016098,705328.726832,697287.494152,694469.968601,676907.605486,658905.96524,659428.10164,647030.292048,640793.880816,637901.540737,641182.616962,643605.000811,628732.885257,623079.170718,618107.804335,614688.0
10,28.0,services,single,secondary,no,5090,yes,no,unknown,6,May,1297,3,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,1,0-3,572024.424502,575088.357117,577689.691486,579672.458368,580957.558467,581514.006643,581340.530363,580481.122689,578571.133201,576172.898084,573385.01944,570317.61242,567081.550234,563770.884562,560457.060761,557199.464207,554039.406505,550999.374251,548097.209348,545364.680699,542849.096915,540639.09268,540115.848334,537127.75434,537535.978947,549685.291971,554591.833925,558230.645887,573755.247381,587160.733254,607171.308005,624651.190804,633415.900527,639801.102121,636051.320497,660479.181688,671580.497387,681439.128803,688557.281671,707018.596847,690726.711086,688795.361799,674885.017231,667076.119089,654057.672606,630714.312566,618852.33009,613306.454458,589385.489915,564214.198609,559789.0
11,38.0,admin.,single,secondary,no,100,yes,no,unknown,7,May,786,1,-1,0,unknown,1,1,0,Adultos iniciales(35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,657493.171435,654625.896558,651610.319268,648497.02084,645344.339023,642208.758839,639129.694351,636125.575927,633208.005794,630401.761407,627749.703909,625339.403713,624455.08076,621502.94981,621607.827728,632740.633695,637018.809003,640252.421209,654647.755661,666736.833096,685110.097731,701035.841406,708885.023044,714559.570373,710885.843178,733716.207168,744062.037897,753006.243157,759595.302548,777162.384336,761213.863596,758856.657158,746504.234089,740134.030342,729694.237024,710397.840174,702342.740543,699448.023374,682079.312204,664377.144995,665156.493606,653239.876876,647510.877305,645242.279168,649297.294079,652472.841729,638501.644282,633458.411917,629003.573039,625766.526845,618981.0
12,30.0,blue-collar,married,secondary,no,309,yes,no,unknown,7,May,1373,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,1,0-3,598052.959424,600011.317571,601346.185339,601957.859706,601821.781924,600982.198236,599090.711975,596714.207762,593959.302102,590938.995067,587761.975046,584516.397513,581265.85356,578061.235708,574936.457613,571908.782516,568993.691923,566223.456608,563648.555518,561362.602746,560729.12841,557734.39682,558063.572741,569980.980913,574747.659116,578300.759703,593573.121388,606665.103484,626279.695406,643366.245557,651876.990684,658054.065899,654287.983127,678339.558303,689298.797564,699032.795721,706207.243504,724752.728782,708914.564978,707369.161158,694467.905232,687736.582704,676142.718676,654607.175644,644409.90846,639958.863112,617988.317962,594645.906277,590832.081219,572659.159069,561929.0
