Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;;2025M12;100
Total Nacional;;Viajero;Total Nacional;;2025M11;100
Total Nacional;;Viajero;Total Nacional;;2025M10;100
Total Nacional;;Viajero;Total Nacional;;2025M09;100
Total Nacional;;Viajero;Total Nacional;;2025M08;100
Total Nacional;;Viajero;Total Nacional;;2025M07;100
Total Nacional;;Viajero;Total Nacional;;2025M06;100
Total Nacional;;Viajero;Total Nacional;;2025M05;100
Total Nacional;;Viajero;Total Nacional;;2025M04;100
Total Nacional;;Viajero;Total Nacional;;2025M03;100
Total Nacional;;Viajero;Total Nacional;;2025M02;100
Total Nacional;;Viajero;Total Nacional;;2025M01;100
Total Nacional;;Viajero;Total Nacional;;2024M12;100
Total Nacional;;Viajero;Total Nacional;;2024M11;100
Total Nacional;;Viajero;Total Nacional;;2024M10;100
Total Nacional;;Viajero;Total Nacional;;2024M09;100
Total Nacional;;Viajero;Total Nacional;;2024M08;100
Total Nacional;;Viajero;Total Nacional;;2024M07;100
Total Nacional;;Viajero;Total Nacional;;2024M06;100
Total Nacional;;Viajero;Total Nacional;;2024M05;100
Total Nacional;;Viajero;Total Nacional;;2024M04;100
Total Nacional;;Viajero;Total Nacional;;2024M03;100
Total Nacional;;Viajero;Total Nacional;;2024M02;100
Total Nacional;;Viajero;Total Nacional;;2024M01;100
Total Nacional;;Viajero;Total Nacional;;2023M12;100
Total Nacional;;Viajero;Total Nacional;;2023M11;100
Total Nacional;;Viajero;Total Nacional;;2023M10;100
Total Nacional;;Viajero;Total Nacional;;2023M09;100
Total Nacional;;Viajero;Total Nacional;;2023M08;100
Total Nacional;;Viajero;Total Nacional;;2023M07;100
Total Nacional;;Viajero;Total Nacional;;2023M06;100
Total Nacional;;Viajero;Total Nacional;;2023M05;100
Total Nacional;;Viajero;Total Nacional;;2023M04;100
Total Nacional;;Viajero;Total Nacional;;2023M03;100
Total Nacional;;Viajero;Total Nacional;;2023M02;100
Total Nacional;;Viajero;Total Nacional;;2023M01;100
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M12;15,87
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M11;16,22
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M10;17,13
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M09;17,91
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M08;17,22
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M07;17,98
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M06;17,43
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M05;16,83
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M04;15,27
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M03;16,48
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M02;19,31
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M01;17,05
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M12;16,89
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M11;16,58
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M10;16,46
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M09;17,87
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M08;16,92
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M07;17,8
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M06;17,25
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M05;17,42
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M04;17,19
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M03;16,11
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M02;18,58
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M01;16,83
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M12;16,71
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M11;17,5
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M10;17,45
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M09;18,34
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M08;17,74
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M07;18,35
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M06;17,63
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M05;17,35
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M04;15,67
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M03;17,31
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M02;19,41
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M01;17,36
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M12;2,73
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M11;2,67
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M10;2,62
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M09;2,71
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M08;2,83
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M07;3,02
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M06;2,94
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M05;2,69
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M04;2,67
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M03;2,77
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M02;2,7
Total Nacional;;Viajero;Total Nacional;02 Aragón;2025M01;2,7
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M12;2,78
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M11;2,67
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M10;2,45
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M09;2,63
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M08;2,82
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M07;2,94
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M06;2,88
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M05;2,46
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M04;2,92
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M03;2,67
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M02;2,57
Total Nacional;;Viajero;Total Nacional;02 Aragón;2024M01;2,82
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M12;2,64
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M11;2,58
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M10;2,37
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M09;2,69
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M08;2,75
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M07;2,89
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M06;2,71
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M05;2,41
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M04;2,58
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M03;2,71
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M02;2,42
Total Nacional;;Viajero;Total Nacional;02 Aragón;2023M01;2,8
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M12;2,31
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M11;2,34
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M10;2,32
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M09;2,52
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M08;1,87
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M07;2,33
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M06;2,46
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M05;2,31
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2025M04;2,27
