Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M12;23.737
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M11;21.544
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M10;24.269
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M09;23.576
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M08;27.284
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M07;22.343
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M06;25.329
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M05;25.331
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M04;24.413
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M03;23.347
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M02;19.328
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M01;19.025
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M12;23.319
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M11;21.985
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M10;22.711
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M09;26.563
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M08;26.767
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M07;22.423
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M06;21.594
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M05;23.981
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M04;20.985
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M03;25.215
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M02;18.285
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M01;16.373
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M12;20.667
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M11;20.538
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M10;21.847
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M09;23.465
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M08;26.444
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M07;21.296
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M06;19.548
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M05;19.362
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M04;19.750
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M03;19.246
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M02;15.741
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M01;17.140
01059 Vitoria-Gasteiz;Viajero;Residentes en el Extranjero;2025M12;6.265
