Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M12;32.767
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M11;34.984
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M10;73.820
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M09;139.375
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M08;220.567
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M07;187.502
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M06;167.911
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M05;109.542
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M04;80.347
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M03;48.254
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M02;44.898
Andalucía: Costa De Almería;Viajero;Residentes en España;2025M01;21.295
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M12;32.366
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M11;29.963
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M10;64.242
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M09;132.879
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M08;192.265
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M07;174.334
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M06;144.577
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M05;105.322
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M04;73.875
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M03;63.556
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M02;42.605
Andalucía: Costa De Almería;Viajero;Residentes en España;2024M01;21.451
Andalucía: Costa De Almería;Viajero;Residentes en España;2023M12;31.329
Andalucía: Costa De Almería;Viajero;Residentes en España;2023M11;30.699
Andalucía: Costa De Almería;Viajero;Residentes en España;2023M10;66.763
Andalucía: Costa De Almería;Viajero;Residentes en España;2023M09;131.917
