Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;;Viajero;Total;;2025M12;6.937.385
Total Nacional;;;Viajero;Total;;2025M11;7.413.495
Total Nacional;;;Viajero;Total;;2025M10;11.041.430
Total Nacional;;;Viajero;Total;;2025M09;12.050.972
Total Nacional;;;Viajero;Total;;2025M08;13.828.672
Total Nacional;;;Viajero;Total;;2025M07;13.044.764
Total Nacional;;;Viajero;Total;;2025M06;12.256.716
Total Nacional;;;Viajero;Total;;2025M05;11.795.145
Total Nacional;;;Viajero;Total;;2025M04;10.049.832
Total Nacional;;;Viajero;Total;;2025M03;7.708.029
Total Nacional;;;Viajero;Total;;2025M02;6.542.730
Total Nacional;;;Viajero;Total;;2025M01;5.774.050
Total Nacional;;;Viajero;Total;;2024M12;6.561.380
Total Nacional;;;Viajero;Total;;2024M11;7.152.418
Total Nacional;;;Viajero;Total;;2024M10;10.757.739
Total Nacional;;;Viajero;Total;;2024M09;11.753.507
Total Nacional;;;Viajero;Total;;2024M08;13.622.908
Total Nacional;;;Viajero;Total;;2024M07;12.692.328
Total Nacional;;;Viajero;Total;;2024M06;11.865.112
Total Nacional;;;Viajero;Total;;2024M05;11.768.411
Total Nacional;;;Viajero;Total;;2024M04;9.386.103
Total Nacional;;;Viajero;Total;;2024M03;8.433.226
Total Nacional;;;Viajero;Total;;2024M02;6.512.168
Total Nacional;;;Viajero;Total;;2024M01;5.660.859
Total Nacional;;;Viajero;Total;;2023M12;6.586.138
Total Nacional;;;Viajero;Total;;2023M11;6.798.815
Total Nacional;;;Viajero;Total;;2023M10;10.390.441
Total Nacional;;;Viajero;Total;;2023M09;11.627.872
Total Nacional;;;Viajero;Total;;2023M08;13.266.497
Total Nacional;;;Viajero;Total;;2023M07;12.680.483
Total Nacional;;;Viajero;Total;;2023M06;11.535.550
Total Nacional;;;Viajero;Total;;2023M05;10.580.202
Total Nacional;;;Viajero;Total;;2023M04;9.829.384
Total Nacional;;;Viajero;Total;;2023M03;7.361.364
Total Nacional;;;Viajero;Total;;2023M02;5.967.064
Total Nacional;;;Viajero;Total;;2023M01;5.367.962
Total Nacional;;;Viajero;Total;Residentes en España;2025M12;3.777.442
Total Nacional;;;Viajero;Total;Residentes en España;2025M11;3.819.809
Total Nacional;;;Viajero;Total;Residentes en España;2025M10;4.645.026
Total Nacional;;;Viajero;Total;Residentes en España;2025M09;5.085.693
Total Nacional;;;Viajero;Total;Residentes en España;2025M08;6.409.255
Total Nacional;;;Viajero;Total;Residentes en España;2025M07;5.842.459
Total Nacional;;;Viajero;Total;Residentes en España;2025M06;5.440.374
Total Nacional;;;Viajero;Total;Residentes en España;2025M05;4.917.999
Total Nacional;;;Viajero;Total;Residentes en España;2025M04;4.593.215
Total Nacional;;;Viajero;Total;Residentes en España;2025M03;3.794.808
Total Nacional;;;Viajero;Total;Residentes en España;2025M02;3.423.944
Total Nacional;;;Viajero;Total;Residentes en España;2025M01;2.916.184
Total Nacional;;;Viajero;Total;Residentes en España;2024M12;3.645.324
Total Nacional;;;Viajero;Total;Residentes en España;2024M11;3.755.355
Total Nacional;;;Viajero;Total;Residentes en España;2024M10;4.523.969
Total Nacional;;;Viajero;Total;Residentes en España;2024M09;4.991.258
Total Nacional;;;Viajero;Total;Residentes en España;2024M08;6.363.350
Total Nacional;;;Viajero;Total;Residentes en España;2024M07;5.756.518
Total Nacional;;;Viajero;Total;Residentes en España;2024M06;5.419.681
Total Nacional;;;Viajero;Total;Residentes en España;2024M05;4.928.517
Total Nacional;;;Viajero;Total;Residentes en España;2024M04;4.181.084
Total Nacional;;;Viajero;Total;Residentes en España;2024M03;4.412.670
Total Nacional;;;Viajero;Total;Residentes en España;2024M02;3.422.317
Total Nacional;;;Viajero;Total;Residentes en España;2024M01;2.919.329
Total Nacional;;;Viajero;Total;Residentes en España;2023M12;3.736.128
Total Nacional;;;Viajero;Total;Residentes en España;2023M11;3.586.759
Total Nacional;;;Viajero;Total;Residentes en España;2023M10;4.589.155
Total Nacional;;;Viajero;Total;Residentes en España;2023M09;5.122.862
Total Nacional;;;Viajero;Total;Residentes en España;2023M08;6.381.789
Total Nacional;;;Viajero;Total;Residentes en España;2023M07;6.012.479
Total Nacional;;;Viajero;Total;Residentes en España;2023M06;5.455.490
Total Nacional;;;Viajero;Total;Residentes en España;2023M05;4.553.381
Total Nacional;;;Viajero;Total;Residentes en España;2023M04;4.983.861
Total Nacional;;;Viajero;Total;Residentes en España;2023M03;3.983.218
Total Nacional;;;Viajero;Total;Residentes en España;2023M02;3.337.995
Total Nacional;;;Viajero;Total;Residentes en España;2023M01;2.964.949
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M12;3.159.943
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M11;3.593.686
