Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2026M05;20.574
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2026M04;21.012
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2026M03;20.189
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2026M02;18.573
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2026M01;18.376
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M12;23.737
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M11;21.544
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M10;24.269
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M09;23.576
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M08;27.284
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M07;22.343
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M06;25.329
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M05;25.331
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M04;24.413
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M03;23.347
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M02;19.328
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2025M01;19.025
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M12;23.319
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M11;21.985
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M10;22.711
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M09;26.563
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M08;26.767
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M07;22.423
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M06;21.594
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M05;23.981
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M04;20.985
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M03;25.215
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M02;18.285
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2024M01;16.373
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M12;20.667
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M11;20.538
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M10;21.847
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M09;23.465
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M08;26.444
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M07;21.296
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M06;19.548
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M05;19.362
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M04;19.750
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M03;19.246
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M02;15.741
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2023M01;17.140
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M12;19.285
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M11;17.948
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M10;20.978
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M09;20.487
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M08;23.797
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M07;21.469
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M06;18.710
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M05;19.550
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M04;19.741
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M03;18.452
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M02;14.676
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2022M01;11.658
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M12;16.766
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M11;16.728
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M10;21.467
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M09;18.647
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M08;26.661
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M07;19.567
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M06;14.399
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M05;11.338
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M04;9.879
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M03;9.124
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M02;5.979
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2021M01;6.023
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M12;6.049
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M11;5.506
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M10;10.615
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M09;10.822
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M08;12.474
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M07;10.923
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M06;.
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M05;.
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M04;0
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M03;6.591
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M02;15.673
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2020M01;14.339
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M12;18.649
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M11;17.911
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M10;20.233
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M09;19.288
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M08;22.113
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M07;19.227
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M06;19.100
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M05;18.157
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M04;18.716
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M03;18.310
01059 Vitoria-Gasteiz;Viajero;Residentes en España;2019M02;14.648
