apartment_id,name,description,host_id,neighbourhood_name,neighbourhood_district,room_type,accommodates,bathrooms,bedrooms,beds,amenities_list,price_€,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review_date,last_review_date,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_instant_bookable,reviews_per_month,country,city,insert_date,has_availability_numeric,rating_above_80,occupancy_30,occupancy_rate_30,occupancy_60,occupancy_rate_60,occupancy_90,occupancy_rate_90,occupancy_365,occupancy_rate_365,is_instant_bookable_numeric,cat_premium,cat_confort,cat_conectividad,cat_familia,cat_seguridad,cat_parking,cat_cocina,logp
9701470,"BORRELL, 4 bedrooms apt in Sant Antoni, Eixample","The apartment is really nice, comfortable, quiet and lightly.  It is located in Eixample area, next to Sant Antoni market. A lively area with plenty of shops, restaurants and bars. It is only 10 minutes walking to Las Ramblas and Gothic area but in a quiet and safe area. Ideal place for families or responsible group of friends. Group of people younger than 25 years old are not allowed, sorry. Families (with or without kids) and group of of people over 25 years old are welcomed. HUTB-003370 The apartment has a kitchen, a living room, two bathrooms and four bedrooms. One bedroom with a double bed, and three bedrooms with a single bed. There is also a sofa bed in the living room for one person. The apartment is fully equipped, has WiFi, heating and airconditioning. Towels and bedlinen is included. It is located in Eixample area, next to Sant Antoni market. A lively area with plenty of shops, restaurants and bars. It is only 10 minutes walking to Las Ramblas and Gothic area but in a quiet",1310304,Sant Antoni,Eixample,Entire home/apt,6,2,4,4,"TV,Wifi,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",1170.0,3,1125,,2,28,58,333,0,,,,,,,,,,FALSO,,spain,Barcelona,2017-01-04,,,28,93.33,32,53.33,32,35.56,32,8.77,0,0,1,1,1,0,0,1,7.064759027791802
13311614,quiet single room&private bathroom near pza Espa�a,"family owned flat of 120 m2.  , we live in there with our shy cat.  very near : Museu d'Art Contemporani de Barcelona, F�brica Moritz Barcelona, sant Antoni, plaza Espa�a, les Arenes, Montjuich, pza Catalunya  and Sants estaci�. VEry well communicated metro and buses room is very quiet and bright. you have  access to a barthroom for your private use, is not shared. We can arrange breakfast if you wish, it is included in price. single real 80cm wide bed with spacious private bathroom with shower and bath tube. Very quiet room in a new flat we can prepare breakfast at your convenience typical eixample zone. bus station just crossing street. MEtro rocafort.",55899782,la Nova Esquerra de l'Eixample,Eixample,Private room,1,1,1,1,"Wifi,Air conditioning,Kitchen,Breakfast,Essentials,Hair dryer,Laptop friendly workspace",350.0,1,4,,0,0,0,0,0,,,,,,,,,,FALSO,,spain,Barcelona,2017-01-04,,,30,100.0,60,100.0,90,100.0,365,100.0,0,0,1,1,0,0,0,1,5.857933154483459
7003233,Cozy flat near Sagrada Familia,"Flat with two doble rooms. Aircon, wifi and parket. Sorrounded by public transport and supermarkets. Flat with two doble rooms. Aircon,wifi and parket. Sorrounded by public transport and supermarkets. Close to all public transports and close to Sagrada Familia. City center in 14 min by metro. Sorrounded by supermarkets and all the comodities that you can need to buy and enjoy, like local and cheap restaurants. Cozy flat with parket and aircon in every room. Has washing machine, microwave and a complete cooking set. We will see each other at check in and check out. Im living in BCN, then you can call me always. Only rented to families and couples. A lot of services around. Close Metro and train station. Supermarkets and restaurants near the flat, even 24h. There is L1 red Clot and L2 purple Clot and Encants. Train station Clot Cozy flat with parket and aircon in every (URL HIDDEN) wifi. Has washing machine, microwave and a complete cooking set. We will see each other at check in and che",8693964,el Clot,Sant Mart�,Entire home/apt,4,1,2,2,"TV,Cable TV,Internet,Wifi,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",1200.0,3,10,,28,58,88,88,22,2015-07-30,2017-01-02,84.0,9.0,8.0,9.0,10.0,9.0,8.0,FALSO,125.0,spain,Barcelona,2017-01-04,,True,2,6.67,2,3.33,2,2.22,277,75.89,0,0,1,1,1,0,0,1,7.090076835776092
15713525,Nice room in classic eixample flat with balcony,"Lugares de inter�s: Cervecer�a Catalana, Casa Batll�, Bar El Vel�dromo, y Rambla de Catalu�a. Te va a encantar mi lugar debido a la ubicaci�n, el ambiente, la gente, las zonas exteriores, y El vecindario. Mi alojamiento es bueno para parejas, aventureros, y viajeros de negocios.",3297768,l'Antiga Esquerra de l'Eixample,Eixample,Private room,1,2,1,1,"Wifi,Kitchen,Smoking allowed,Breakfast,Elevator in building,Family/kid friendly,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace",250.0,3,1125,,0,5,35,35,1,2016-11-10,2016-12-28,,,,,,,,VERDADERO,52.0,spain,Barcelona,2017-01-04,,,30,100.0,55,91.67,55,61.11,330,90.41,1,0,1,1,1,1,0,1,5.521460917862246
13567392,"Double Room w. Balcony/Priv Bathroom, Raval Center","Located in the Heart of Raval and in front of Mercado de la Boqueria. Just 2 min walk from La Rambla, 5 min walk from MACBA and pl. Cataluyna. Very quite double bed room with a balcony perfect for single travel or couple. Room has a private bathroom/toilet. High Speed internet, quiet room makes it perfect for business travelers as well. Market, stores, restaurants and pubs are just downstairs. Bike rental place is 2 min away. Fully equipted kitchen and private bathroom makes this offer unique. the apartment has a big living room with comfortable couch and cable TV. There is a dinning table and kitchen for your use. You will also have private bathroom. There are two bedrooms with private bathroom and toilet located in the other end of the apartment. The double room is quiet and has it own balcony to the patio - no outside street noise makes it unique in Raval area. You can use all common areas of the apartment + your private bathroom. I am always available if you need anything. it is lo",4092770,el Raval,Ciutat Vella,Private room,2,2,1,2,"TV,Cable TV,Internet,Wifi,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",500.0,4,14,,5,5,5,204,11,2016-07-06,2016-09-21,89.0,9.0,9.0,9.0,9.0,10.0,9.0,FALSO,18.0,spain,Barcelona,2017-01-04,,True,25,83.33,55,91.67,85,94.44,161,44.11,0,0,1,1,1,1,0,1,6.214608098422191
15695052,Wonderful room in the heart of BCN,"Wonderful bedroom located in the heart of Barcelona, old quarter, new and modern building close to everything and near the subway station. The house is amazing in 70m2 plus a 50m2 terrace. We also have a parking in case you come with a car (extra 5� for that). Fiber internet connection, Netflix and central air condicioning. You will have your own toilet with shower. Elevator and the best neighborhood in town. You can use all of the house. Counting that you will have you own bedroom and your own toilet with shower. As we also leave in the house, it will be a pleasure to help you with getting around the city and letting you know what are the best places to visit, eat and party.",958218,el Raval,Ciutat Vella,Private room,1,1,1,1,"TV,Cable TV,Internet,Wifi,Air conditioning,Kitchen,Smoking allowed,Doorman,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",350.0,3,10,,29,59,89,364,2,2016-10-26,2016-10-30,,,,,,,,VERDADERO,82.0,spain,Barcelona,2017-01-04,,,1,3.33,1,1.67,1,1.11,1,0.27,1,1,1,1,0,0,0,1,5.857933154483459
13707226,"Remarkable Value, Unbeatable Location","A spacious double bedroom with a balcony. It's located in one of the nicest areas of Barcelona (Gothic Quarter), 15 mins walk to Barceloneta beach and in front of the Port of Barcelona. It's 2 mins walking until Las Ramblas, Colombus state, and old town. (1) The room has two comfortable beds, a closet and two desks. You can relax and enjoy the fresh air in the balcony or you can use the air conditioning in the room. Also there is a heater and a refrigerator. There are other 6 rooms in the apartment that I rent along with this one. The apartment is very bright and has lots of spaces. You will have access to four bathrooms, two have a toilet and a shower and the other two have a toilet and no shower. Also the kitchen is fully equipped: dishwasher, microwave, oven, 2 fridges with freezer. What's more there are some sitting areas around the apartment that you'll find very pleasant and comfortable. The apartment has LCD TV and WIFI. Guest will have access to - 4 bathrooms  - kitchen - wifi",80008404,el Barri G�tic,Ciutat Vella,Private room,2,4,1,2,"TV,Internet,Wifi,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Iron,Laptop friendly workspace",600.0,28,1125,,30,60,90,180,13,2016-08-04,2016-09-23,94.0,10.0,9.0,9.0,9.0,9.0,9.0,VERDADERO,25.0,spain,Barcelona,2017-01-04,,True,0,0.0,0,0.0,0,0.0,185,50.68,1,1,1,1,1,1,0,1,6.396929655216146
1198074,005596_APARTAMENTO DE 2 DORMITORIOS,"!!!-ATTENTION-!!! HERE YOU HAVE THE CHANCE FOR A LAST MINUTE BOOKING ( SHORT TERM BOOKING OR LONG TERM BOOKING ) ALL YOU HAVE TO DO IS TO FOLLOW THE INSTRUCTIONS FROM THE SECOND IMAGE OF THE PROPERTY High standing apartments located on 41st Street CASP of Barcelona, 5 minutes walking from Paseo de Gracia and Plaza Catalu�a. Located in the Eixample of Barcelona, 15 minutes from the same port. The area is surrounded by numerous and varied restaurants. The building has recording surveillance security cameras. Good communication, near buses in Gran Via, Plaza Urquinaona, Paseo de Gracia and Plaza Catalu�a, which connect the different points of the city, as well as railways in plaza Catalunya, Urquinaona and Plaza Tetuan metro. BCN  apartments41 offers stylish apartments with a flat-screen TV, air conditioning, heating, free Wi-Fi, and TV via satellite. The floors have parquet floors, wooden beams and slab of clay in the ceilings and a small balcony (not possible to sit outside). The Two b",6544866,la Dreta de l'Eixample,Eixample,Entire home/apt,4,2,2,3,"TV,Cable TV,Internet,Wifi,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron",2000.0,1,1125,,16,19,29,152,4,2016-03-07,2016-08-07,95.0,10.0,10.0,10.0,10.0,10.0,10.0,VERDADERO,39.0,spain,Barcelona,2017-01-04,,True,14,46.67,41,68.33,61,67.78,213,58.36,1,0,1,1,1,1,0,1,7.600902459542082
1204161,"Upper room, patio home in Gracia","I offer a room for one person, single room, in a three rooms quiet house with a gorgeous patio, where I'm living. In one of the best suburbs of the city, Gracia; just a short walk from the center-town. The streets are lined with boutiques & pretty cafe terraces. Room for one person. It is up stairs, in an open space, at the top of the studio-office with a single size bed in a sofa. Look at the pictures to see how it looks like (I tried to described at best there to make you an idea :). Shared area includes extensively equipped kitchen, cosy living & dining room, fully equipped bathroom-toilet, study-office space and the PATIO. The house is spacious, quiet, friendly and comfortable!! Bed linen, towels, bath towels, hairdryer, iron, ironing board, as well as unlimited use of WIFI access and TWO BICYCLES. You may enjoy my coffee, variety of tea and infusion, make yourself a breakfast (I won't make you one but some essentials are always available), plus use my selection of spices, olive oi",6001714,la Vila de Gr�cia,Gr�cia,Private room,1,1,1,1,"Internet,Wifi,Kitchen,Washer,Essentials",200.0,28,35,,17,47,77,352,36,2013-06-20,2016-11-09,96.0,10.0,10.0,10.0,10.0,10.0,10.0,FALSO,83.0,spain,Barcelona,2017-01-04,,True,13,43.33,13,21.67,13,14.44,13,3.56,0,0,0,1,0,0,0,1,5.298317366548036
15491387,Lovely Double room in beautiful apartment,"Bonita habitaci�n ubicada en El Clot', muy buena zona de Barcelona, convendr�a perfectamente a parejas. La habitaci�n es muy c�moda, muy luminosa durante el d�a, pueden disfrutar del piso completo, tenemos un balc�n muy agradable y la cocina es muy amplia. Amamos Barcelona y estamos dispuestas a darles todos los consejos para hacer que su estancia sea excelente. Hablamos varios idiomas, ingl�s, franc�s, italiano y espa�ol por lo cual esperamos poderles transmitir nuestra perspectiva de la ciudad y que lleguen a apreciarla tanto como lo hacemos nosotras. Hermosa habitaci�n situada en una de las mejores zonas de Barcelona, el Clot. Barrio reconocido por su proximidad a los lugares m�s emblem�ticos de la ciudad, conexi�n directa al Aeropuerto del Prat con la l�nea de Tren R2, estaci�n �Clot Arag�. A pocos pasos de casa te encontrar�s con varios supermercados y a 10 minutos andando incluso tienes �Carrefour�. La zona es muy animada, cuenta con muchos comercios, ventas de Charcuter�a regi",36666424,el Camp de l'Arpa del Clot,Sant Mart�,Private room,2,1,1,1,"TV,Wifi,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke alarm,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron",300.0,1,1125,,21,46,70,95,3,2016-11-01,2016-12-23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,FALSO,134.0,spain,Barcelona,2017-01-04,,True,9,30.0,14,23.33,20,22.22,270,73.97,0,0,1,1,1,1,0,1,5.703782474656201
1346199,Duplex Loft near Beach - Groups Offer,"Large loft 110m� fully renovated and furnished. For groups of minimum 4 people, up to 10 people (we have other similar lofts, ask by message) Kitchen - Fridge, Washing machine, sink, stove, dining table and chairs, plates, cutlery, ... Bathroom - sink, shower and separate WC Linen provided, large wardrobe. Opportunity to be up to 10 people (discount prices), if you are more, thank you to send us your request and we will consider! Important: We can fit lofts according to customer requests! Environment of the accommodation We have partnerships with bars and restaurants, please ask us. We also rent parking spaces We have a shuttle service available 24h/24 Transport: Metro Bogatell (L4 - Green) Your region, your town, your neighborhood The Lofts are just steps from the beach and Port Olimpic area. Guests can also go for a relaxing walk or dinner at the seaside - NightClub Razzmatazz - 0.3km / 0.2 mi - Music Museum - 0.7 km / 0.4 mi - Teatre Nacional de Catalunya - 0.8 km / 0.5 mi - Torre",6614322,el Parc i la Llacuna del Poblenou,Sant Mart�,Entire home/apt,10,1,2,6,"Wifi,Kitchen,Elevator in building,Family/kid friendly",1500.0,1,1125,,30,60,90,365,0,,,,,,,,,,FALSO,,spain,Barcelona,2017-01-04,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,1,1,0,0,1,7.313220387090301
11411444,Cute apartment close to Pg.Gr�cia a,"Cute apartment in Gracia!  near Metro Diagonal, Free Wifi , with a Balcony and  A.c.  Perfect for a couple visiting the city. It is in a lovely area with many nice bars, cafes and a few nice squares . 15 minutes  from Pla�a Catalunya. HUTB 005374 You cannot be more centrally located! About the apartment, the sleeping area has one double room with a Queen size bed and wardrobe space. In the kitchen you will find an oven, burners, toaster, coffee maker, fridge,etc. The living area is very comfortable, cosy and naturally fully furnished with a sofa, TV,  dining table and chairs,� Naturally it is fully air conditioned and heated. This is truly an exceptional property in the absolute best position possible!! To cover some basics - Yes, all linen, towels, cutlery, crockery etc are provided. FREE WIFI HUTB 005374 Gracia is a really nice place to be, we're sure that you'll love it! The neighbourhood of Gracia is just one stop up from the top of Passeig de Gracia but it feels like a whole diffe",14368366,la Vila de Gr�cia,Gr�cia,Entire home/apt,2,1,1,1,"TV,Wifi,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hair dryer,Iron",750.0,3,1125,,29,59,89,364,13,2016-04-16,2016-11-25,83.0,9.0,9.0,9.0,10.0,9.0,9.0,FALSO,147.0,spain,Barcelona,2017-01-04,,True,1,3.33,1,1.67,1,1.11,1,0.27,0,0,1,1,1,0,0,1,6.620073206530356
