apartment_id,city,room_type,price_€,availability_30,availability_60,availability_90,availability_365,has_availability_numeric,occupancy_30,occupancy_rate_30,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,rating_above_80
13707226,barcelona,Private room,600.0,30,60,90,180,,0,0.0,94.0,10.0,9.0,9.0,9.0,9.0,True
13011987,barcelona,Entire home/apt,650.0,0,0,0,20,,30,100.0,,,,,,,
14999488,barcelona,Private room,250.0,4,18,48,104,,26,86.67,90.0,10.0,10.0,10.0,9.0,10.0,True
6547870,barcelona,Entire home/apt,750.0,30,45,47,238,,0,0.0,86.0,9.0,8.0,9.0,9.0,9.0,True
15253506,barcelona,Entire home/apt,3150.0,11,36,65,338,,19,63.33,,,,,,,
7003233,barcelona,Entire home/apt,1200.0,28,58,88,88,,2,6.67,84.0,9.0,8.0,9.0,10.0,9.0,True
9701470,barcelona,Entire home/apt,1170.0,2,28,58,333,,28,93.33,,,,,,,
15254167,barcelona,Private room,320.0,26,56,86,361,,4,13.33,80.0,9.0,8.0,9.0,9.0,10.0,False
1204161,barcelona,Private room,200.0,17,47,77,352,,13,43.33,96.0,10.0,10.0,10.0,10.0,10.0,True
11198148,barcelona,Private room,400.0,20,50,80,355,,10,33.33,,,,,,,
936781,barcelona,Entire home/apt,900.0,25,51,81,333,,5,16.67,96.0,10.0,10.0,10.0,10.0,9.0,True
1418423,barcelona,Entire home/apt,500.0,6,24,36,70,,24,80.0,96.0,10.0,10.0,10.0,10.0,10.0,True
1198074,barcelona,Entire home/apt,2000.0,16,19,29,152,,14,46.67,95.0,10.0,10.0,10.0,10.0,10.0,True
15491387,barcelona,Private room,300.0,21,46,70,95,,9,30.0,100.0,10.0,10.0,10.0,10.0,10.0,True
3771149,barcelona,Private room,390.0,2,27,53,305,,28,93.33,94.0,10.0,10.0,9.0,9.0,9.0,True
4806720,barcelona,Entire home/apt,900.0,26,48,63,315,,4,13.33,80.0,8.0,9.0,9.0,8.0,9.0,False
15695052,barcelona,Private room,350.0,29,59,89,364,,1,3.33,,,,,,,
3810717,barcelona,Entire home/apt,1100.0,0,0,0,0,,30,100.0,97.0,10.0,10.0,10.0,10.0,10.0,True
4690195,barcelona,Entire home/apt,1680.0,30,60,90,362,,0,0.0,100.0,10.0,10.0,10.0,10.0,10.0,True
3847290,barcelona,Private room,890.0,30,57,87,357,,0,0.0,100.0,10.0,10.0,10.0,10.0,10.0,True
15713525,barcelona,Private room,250.0,0,5,35,35,,30,100.0,,,,,,,
544995,barcelona,Entire home/apt,1990.0,30,56,86,259,,0,0.0,94.0,9.0,9.0,10.0,10.0,10.0,True
12265320,barcelona,Private room,650.0,30,60,90,365,,0,0.0,99.0,10.0,10.0,10.0,10.0,10.0,True
11411444,barcelona,Entire home/apt,750.0,29,59,89,364,,1,3.33,83.0,9.0,9.0,9.0,10.0,9.0,True
6465424,barcelona,Private room,230.0,30,60,90,180,,0,0.0,,,,,,,
14263672,barcelona,Entire home/apt,600.0,29,55,85,360,,1,3.33,91.0,10.0,10.0,10.0,10.0,9.0,True
16166606,barcelona,Entire home/apt,900.0,0,0,0,0,,30,100.0,,,,,,,
13567392,barcelona,Private room,500.0,5,5,5,204,,25,83.33,89.0,9.0,9.0,9.0,9.0,10.0,True
16262996,barcelona,Private room,350.0,27,54,84,85,,3,10.0,,,,,,,
