city,periodo,total_alojamientos,pct_disponible
Barcelona,30,2041,37.05
Girona,30,1085,48.63
Madrid,30,1396,34.72
Malaga,30,339,40.49
Mallorca,30,1096,44.7
Menorca,30,138,49.96
Sevilla,30,341,46.87
Valencia,30,297,45.3
Barcelona,60,2041,42.72
Girona,60,1085,52.13
Madrid,60,1396,40.21
Malaga,60,339,47.39
Mallorca,60,1096,47.84
Menorca,60,138,51.47
Sevilla,60,341,51.54
Valencia,60,297,49.56
Barcelona,90,2041,47.23
Girona,90,1085,53.73
Madrid,90,1396,44.39
Malaga,90,339,52.37
Mallorca,90,1096,50.19
Menorca,90,138,52.83
Sevilla,90,341,55.62
Valencia,90,297,53.02
Barcelona,365,2041,49.89
Girona,365,1085,53.45
Madrid,365,1396,44.82
Malaga,365,339,55.53
Mallorca,365,1096,57.79
Menorca,365,138,54.66
Sevilla,365,341,54.73
Valencia,365,297,50.35
