Competencias,Año,Total empresas (sin filtrar),Empresa de entre 250 y 499 trabajadores,Empresa de servicios,Andalucía,Cataluña,Comunitat Valenciana,Comunidad de Madrid,País Vasco
Administrativas de oficina,2020,11.114246654375338,10.057321521625846,11.129610655737705,12.561068702290076,9.156032385966082,9.432930164711603,10.525672371638143,17.405493608920317
De atención al público/ trato a clientes,2020,18.633906510642035,18.60343929129755,23.86380269320843,24.30916030534351,18.531969479892048,15.340667355497478,17.595762021189895,18.370954582540115
De comunicación oral o escrita,2020,1.3909269920106357,3.3871808233454925,1.6091554449648713,0.5572519083969466,1.575983740379169,0.5105451893271744,1.4792176039119804,2.7604025020397063
De cálculo o lingüísticas,2020,0.5938718942443968,1.354872329338197,0.700746487119438,0.4312977099236641,0.749675140772332,0.2370388379019024,0.10187449062754686,0.5983138428066358
De dirección,2020,15.275112566003186,23.03282959874935,15.581088992974239,18.022900763358777,10.595408656248958,16.98170546404911,15,13.530051672559152
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",2020,11.671119138101867,13.757165190203231,12.245682084309134,10.698473282442748,13.973944623996267,9.220203002491946,16.320293398533007,8.621158553168344
De trabajo en equipo,2020,21.72680638647452,22.928608650338717,23.00021955503513,22.610687022900763,18.798520641055543,19.00565246459612,29.079054604726977,23.551808539570303
En lenguas extranjeras,2020,9.327614102419385,29.963522668056278,9.969628220140516,5.4961832061068705,13.670742678172791,7.9438400291740106,14.747351263243683,10.946423714985043
Generales de tecnologías de la información,2020,11.85862462530258,22.35539343408025,12.731447599531617,13.19083969465649,13.061006897011294,9.894852002674284,12.770986145069275,10.742453086755507
Otras,2020,16.35185812293838,13.913496612819177,16.999048594847775,18.416030534351144,21.50734681637957,19.157600437610164,11.45476772616137,10.416100081588251
Profesionales de tecnologías de la información,2020,4.75160226260802,10.369984366857738,5.549253512880562,3.645038167938931,5.8507979875387335,4.096517352458518,7.013039934800326,6.173511014413925
Técnicas específicas del puesto de trabajo,2020,53.49299519634772,62.7931214174049,47.535494730679154,43.2557251908397,53.99326958318062,54.099556311918796,55.6479217603912,59.89937449007343
Administrativas de oficina,2021,18.01775995416786,13.078579117330463,18.718515308043738,19.41015766432968,19.79874542603241,14.353741496598639,18.12408256193643,20.15386282370788
Básicas de cálculo y/o comunicación oral o escrita,2021,1.9730538626418672,3.821313240043057,2.3901721577627306,1.5634771732332708,1.3512807109252483,1.8594104308390023,3.3492106288008148,4.106620435583487
De atención al público/ trato a clientes,2021,20.20861525696619,18.353067814854683,26.4055761210149,20.944011059543794,15.381599581808677,21.151927437641724,21.895689164494772,20.738974970202623
De dirección,2021,18.460771046731004,26.42626480086114,19.073772763121433,17.958592541391003,21.411395713538944,19.002267573696145,19.244480393037957,18.095134900855996
