Motivo,Total,Nada,Poco,Bastante,Mucho,Grupo,Sector,Año
El nivel de formación de los empleados era el apropiado,100.0,9.34,15.6,46.11,28.95,50+,General,2023
La estrategia preferida de la empresa fue contratar personal,100.0,20.93,24.72,35.18,19.18,50+,General,2023
Dificultad para evaluar las necesidades de formación,100.0,24.53,50.51,22.12,2.84,50+,General,2023
La falta de cursos de formación adecuados en el mercado,100.0,27.97,44.56,17.15,10.32,50+,General,2023
El alto coste de los cursos de formación,100.0,30.82,36.38,22.27,10.53,50+,General,2023
La estrategia preferida de la empresa fue contratar personal,100.0,68.14,19.18,10.26,2.42,50+,General,2023
El mayor esfuerzo realizado en años anteriores,100.0,37.75,40.94,15.17,6.13,50+,General,2023
La elevada carga de trabajo y el escaso tiempo,100.0,18.66,29.68,34.54,17.11,50+,General,2023
Dificultad para acceder a ayudas o subvenciones públicas,100.0,34.52,37.12,19.53,8.83,50+,General,2023
Otras razones,100.0,52.85,35.57,6.17,5.4,50+,General,2023
El nivel de formación de los empleados era el apropiado,100.0,13.68,13.59,47.16,25.57,Todos,Servicios,2023
La estrategia preferida de la empresa fue contratar personal,100.0,21.53,16.96,42.31,19.21,Todos,Servicios,2023
Dificultad para evaluar las necesidades de formación,100.0,33.31,43.09,19.86,3.73,Todos,Servicios,2023
La falta de cursos de formación adecuados en el mercado,100.0,29.72,37.71,23.96,8.6,Todos,Servicios,2023
El alto coste de los cursos de formación,100.0,28.51,30.63,29.68,11.17,Todos,Servicios,2023
La estrategia preferida de la empresa fue contratar personal,100.0,68.27,20.55,9.09,2.09,Todos,Servicios,2023
El mayor esfuerzo realizado en años anteriores,100.0,39.51,35.39,20.58,4.53,Todos,Servicios,2023
La elevada carga de trabajo y el escaso tiempo,100.0,24.86,27.31,36.28,11.55,Todos,Servicios,2023
Dificultad para acceder a ayudas o subvenciones públicas,100.0,31.4,27.59,27.0,14.01,Todos,Servicios,2023
Otras razones,100.0,68.27,20.55,9.09,2.09,Todos,Servicios,2023
