Impacto,Año,TOTAL Nacional,250-499 trabajadores,Transporte y almacenamiento,Cataluña,Comunitat Valenciana,País Vasco,Andalucía,Madrid (Comunidad de)
Detectaron necesidades formativas,2020,30.806256352489527,76.97983275946876,29.108386887724794,32.18412068414591,33.47655574139224,31.173538740371544,32.0313512112968,33.89429229587919
Detectaron nec. → SÍ proporcionaron formación (1),2020,87.33332632839836,98.9776357827476,88.5343228200371,89.56994304227413,83.19407356361444,84.50996677740864,88.73609706774519,88.14423258448178
Detectaron nec. → NO proporcionaron formación (1),2020,12.667724411848146,1.0223642172523961,11.465677179962894,10.43005695772587,16.814540442759927,15.490033222591363,11.263902932254803,11.855767415518217
NO detectaron necesidades formativas,2020,69.19374364751047,23.020167240531233,70.89161311227521,67.81419754124552,66.52344425860777,68.82646125962846,67.9686487887032,66.1057077041208
No detectaron nec. → SÍ proporcionaron formación (2),2020,48.51587973596927,86.75213675213675,59.82326502628171,46.80951318106292,46.91577441588279,43.054641211323236,56.60916801677309,45.64901752008518
No detectaron nec. → NO proporcionaron formación (2),2020,51.48412026403073,13.247863247863247,40.17673497371829,53.19048681893708,53.08422558411721,56.945358788676764,43.39083198322691,54.35098247991482
Detectaron necesidades formativas,2021,17.44744159128367,48.0330257406508,19.006065765669895,17.1437967606676,16.128760428077864,24.318387388551493,16.252602931777417,18.913892893708603
Detectaron nec. → SÍ proporcionaron formación (1),2021,87.99012096410738,99.3933265925177,93.25307950727884,87.88605409553041,86.06757227446883,87.51328374070138,81.36496257769885,93.39372514361467
Detectaron nec. → NO proporcionaron formación (1),2021,12.008076292116602,0.7077856420626896,6.746920492721165,12.113945904469595,13.932427725531173,12.513283740701382,18.62235189648611,6.606274856385329
NO detectaron necesidades formativas,2021,82.5528729413837,51.9669742593492,80.99393423433011,82.8562032393324,83.87123957192213,75.68161261144851,83.74739706822258,81.08819657744625
No detectaron nec. → SÍ proporcionaron formación (2),2021,62.92606167749998,92.89719626168224,68.23019314150571,63.773839528468514,63.26400750192572,56.08673382277617,62.72033481043821,67.23098330241187
No detectaron nec. → NO proporcionaron formación (2),2021,37.07393832250002,7.102803738317757,31.769806858494285,36.226160471531486,36.73599249807428,43.91326617722383,37.27966518956179,32.766439909297056
Detectaron necesidades formativas,2022,24.669632480139107,59.51197469498418,22.32753262896209,27.320154624595368,22.630074630815646,26.69236029091813,23.80050992814649,28.387859676783602
Detectaron nec. → SÍ proporcionaron formación (1),2022,91.55746639215211,99.46848899012907,94.64161447459986,89.49729667548603,92.84294234592446,91.61620866325104,89.7256938808635,95.64704248819773
Detectaron nec. → NO proporcionaron formación (1),2022,8.442533607847887,0.6074411541381929,5.35838552540014,10.502703324513977,7.157057654075547,8.383791336748953,10.274306119136504,4.352957511802277
NO detectaron necesidades formativas,2022,75.33036751986089,40.48802530501582,77.67246737103791,72.67984537540464,77.36992536918436,73.30763970908187,76.19949007185352,71.6121403232164
No detectaron nec. → SÍ proporcionaron formación (2),2022,64.22998972764374,91.96428571428571,71.43428685737148,69.26403182565079,58.050282195997944,61.66369880437548,62.32953105196451,67.99042272126816
No detectaron nec. → NO proporcionaron formación (2),2022,35.770406888427935,7.924107142857143,28.565713142628525,30.735968174349217,41.949717804002056,38.33630119562452,37.67046894803549,32.00957727873184
Detectaron necesidades formativas,2023,28.60934060234437,64.27137695704536,25.97521332791548,32.39639971738396,25.049590559991863,31.43342226534077,25.5608504398827,31.302140007254263
Detectaron nec. → SÍ proporcionaron formación (1),2023,88.22403738656622,99.87507807620237,92.45209229565897,85.19817940451355,89.88832487309645,89.75694444444444,87.45159902480998,85.50954442885893
Detectaron nec. → NO proporcionaron formación (1),2023,11.774955432231813,0.12492192379762648,7.567461869378177,14.797079461407169,10.111675126903553,10.243055555555555,12.548400975190019,14.490455571141062
NO detectaron necesidades formativas,2023,71.39065939765563,35.72862304295464,74.02478667208452,67.60360028261604,74.95040944000814,68.56657773465923,74.4391495601173,68.69976900902965
No detectaron nec. → SÍ proporcionaron formación (2),2023,66.8247516720012,95.50561797752809,75.10635378070536,69.34611714454492,67.03650922909881,66.48390519985851,68.45176540109323,67.1686998082641
No detectaron nec. → NO proporcionaron formación (2),2023,33.17524832799881,4.49438202247191,24.893646219294634,30.65615485981733,32.963490770901196,33.516094800141495,31.54823459890678,32.831300191735906
Detectaron necesidades formativas,2024,29.12369381417594,58.70818915801615,25.90190514795298,31.72210934894017,26.022667567364707,26.84024236606875,27.268814890526656,35.43244098003832
Detectaron nec. → SÍ proporcionaron formación (1),2024,89.97451064326575,100,95.03129890453835,90.311633687028,94.22170945101432,92.48994188645507,88.1633458275794,91.26325737687704
Detectaron nec. → NO proporcionaron formación (1),2024,10.02548935673425,0,4.968701095461659,9.688366312971992,5.778290548985675,7.510058113544926,11.836654172420596,8.736742623122966
NO detectaron necesidades formativas,2024,70.87630618582406,41.25336409073433,74.09809485204703,68.27789065105983,73.9773324326353,73.15975763393125,72.73118510947334,64.56755901996168
No detectaron nec. → SÍ proporcionaron formación (2),2024,66.57059021059533,96.83131407269339,71.21854485776805,69.36178717356546,66.96766774891775,63.69823698236982,67.63560157790927,63.01322499783905
No detectaron nec. → NO proporcionaron formación (2),2024,33.42940978940467,3.168685927306617,28.78145514223195,30.638212826434536,33.035714285714285,36.30176301763018,32.361932938856015,36.98677500216095
